linker,semfield1_ed,id,source,parts.num,parts.order,parts.order.example,linker_position,linker_position_exclusivity,position.example,mainpart,correl,correl.oblig,correl.oblig.example,comp.oblig,comment,public_comments,correl.position,correl.position.example,clause.order,clause.order.example,clause order comments,dep.clause.type,expansion,indep.sentence,indep.sentence.example,inferential.example,illoc example,metatext example,phonvar,pos,pos.type,meaning,style,example,other_senses,other_pos,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,developer
на то_и... чтобы,причина,1265,АГ-80,poly,discont,,initial,predominantly,"Политики на то и существуют, чтобы процесс перетекания Свободы в Привычку был максимально плавным, естественным, эволюционным. [НКРЯ. Семен Новопрудский. Дары и стада (2001) // «Известия», 11.09.2001]",на то и,чтобы,да,,NA,"в столбце example - NA, предлагаю добавить: В конце концов, на то и существует рынок, чтобы экономические субъекты конкурировали на равных. [НКРЯ. Артем Лисицкий, Николай Авилов. Делить по-русски (2003) // «Новая газета», 16.01.2003]",,initial,,preposition,,,Преимущественно используется с инфинитивными оборотами.,,нет,,,,Примеры не обнаружены,NA,конструкция с союзом,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Аня Д
на том основании что,причина,1266; 1267; 1268,АГ-80; ЕФР; Морк,poly,nobreak,,initial,exclusively,,на том основании что,NA,NA,,да,,,NA,,postposition,,,финитная,,да,"Возникает странный образ коммуниста, который использует возможности, полученные в результате доверия избирателей, не для исполнения их чаяний, наказов, надежд, а для «укрепления финансовой и материально-технической самостоятельности» родной партии. На том основании, что партия борется за интересы избирателя и лучше знает, в чем они заключаются. [НКРЯ. Александр Блинов. Спор о главном (2003) // «Советская Россия», 15.01.2003]",,,Примеры не обнаружены,NA,союз,NA,"NA; обосновывается действие главной части: исходя из того что, потому что; причинный",NA,"Апелляционный суд Амстердама 26 октября принял решение передать уникальную коллекцию скифского золота Украине на том основании, что европейское правосудие полагает, будто полуостров входит в состав украинского государства. (НКРЯ); Отметим, законы Украины позволяют выйти из гражданства этой страны на том основании, что человек постоянно живёт за границей и получил гражданство другой страны. (НКРЯ); Этот вывод сделан на том основании, что никаких документов у Мухина не оказалось (НКРЯ)",NA,NA,обоснование; обеспечение возможности; обоснование,NA,NA,NA,NA,Аня Д
на тот случай если,условие,1269; 1270,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,на тот случай если,NA,NA,,NA,,,NA,,free,"На тот случай, если откажет тормозной двигатель, орбита выбиралась такой низкой, чтобы за счет аэродинамического торможения в верхней атмосфере постепенно снижалась скорость и не более чем через пять — семь суток корабль должен был «зарыться» и оказаться на Земле. [НКРЯ. Л. А. Данилкин. Юрий Гагарин (2011)]
Возле его кровати, на тот случай если он проснётся слишком рано, лежала книга. (сконструкированный пример)
Ноги его были босыми, но вдоль ложа стоял целый ряд искусно разукрашенных тапочек на тот случай, если он проснется и захочет встать и прогуляться по монастырю. [НКРЯ. Н. Д. Старосельская. Повседневная жизнь «русского» Китая (2006)]",,финитная,,да,"Начнут ворчать. Трусовато, потому что позиции президента сильны. Но все же достаточно слышно. На тот случай, если история совершит непредсказуемый кульбит, как это уже бывало в новейшей истории. [НКРЯ. Александр Архангельский. Ждите ответа (2003) // «Известия», 03.10.2003]",,"Он красивый, хотя и ядовитый — на тот случай, если ты его до сих пор не выкинула. [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,NA; реальное условие,NA,"Вузы также должны подготовить инфраструктуру, чтобы организовать для студента режим самоизоляции, например, на тот случай, если тест не готов или оказался положительным. (НКРЯ); В обращении он спрашивает о существовании специально разработанных для госуслуг регламентов действий пользователей на тот случай, если их аккаунт взломают. (НКРЯ)",NA,NA,реальное,NA,NA,NA,NA,Аня Д
на что... но/и/даже/но и/а и/и то/а и то,адверсатив,1271,ЕФР,poly,nobreak,,initial,exclusively,,на что,но; и,да,,NA,пример не полная клауза,,initial,,preposition,,,финитная,,нет,,,"Уж на что, казалось бы, узкая область — сновидения: почему бы и не иметь им единственного объяснения? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,"наряду с полнотой, исчерпанностью признака содержится уступительное ограничение: хотя и, несмотря на то что, уж на что",NA,"А Надежда Константиновна, уж на что закаленный боец революции и верный соратник, но как всякая женщина переживает измену мужа и сразу замечает, что у Володи, вернувшегося с «велосипедной прогулки» с товарищем по партии Инессой Арманд, ушки кепки по рекомендации последней завернуты внутрь. (НКРЯ)",1. Зачем? Для какой надобности? (обычно при скрытом отрицании) 2. С какой целью? Для чего? Зачем? 3. оценочная характеристика чего-л. как ненужного,"наречие, предикатив",уступка,степень,собственно степень,NA,NA,Аня Д
наверно,причина,1272,Морк,mono,NA,,free,,,наверно,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,"Великолепный спортсмен. Холост. Связей порочащих его не имел. Наверно, именно такие люди должны работать в политической разведке. [НКРЯ. Форум: 17 мгновений весны (2005-2010)]","У них в окнах не горит свет; наверно, они ушли. [Сконструированный пример]",,Примеры не обнаружены,NA,вводное слово,NA,"для выражения того, что высказываемое утверждение основывается на предположении говорящего",NA,"У них в окнах не горит свет; наверно, они ушли. (Сконструированный пример)",NA,NA,обоснование,NA,NA,NA,NA,Аня Д
наверное,причина,1273,Морк,mono,NA,,free,,,наверное,NA,NA,,NA,,,NA,,postposition,,,финитная,,да," Он ее уважал и немного боялся. Наверное, это и был его идеал отношений с женой… [НКРЯ. Ольга Зуева. Скажи, что я тебе нужна... // «Даша», 2004]","У них в окнах не горит свет; наверное, они ушли. [Сконструированный пример]",,Примеры не обнаружены,NA,вводное слово,NA,высказываемое утверждение основывается на предположении говорящего,NA,"У них в окнах не горит свет; наверное, они ушли. (Сконструированный пример)",NA,NA,обоснование,NA,NA,NA,NA,Аня Д
надо сказать,конъюнкция,,Морк,poly,nobreak,,free,,,надо сказать,NA,NA,,,,,NA,,,,,финитная,,да,"Их обвиняли по статьям 208 "" Организация незаконного вооруженного формирования "" и 239 "" Создание объединения, посягающего на права и личность граждан "". Надо сказать, практика по таким делам почти отсутствует. [НКРЯ. Андрей Андреев. Будущее принадлежит нам! // «Завтра», 2003.08.22]",,,Примеры не обнаружены,NA,вводное слово,NA,"вводит то, что подтверждает ранее высказанную мысль",,"— Что «не нравится»? — несколько ошарашенно спросил Тимницын; надо сказать, Жижин умел иногда поставить в тупик неожиданным вопросом. [Сергей Шикера. Стень (1998) // «Волга», 2009] GOOD",,,присоединение,NA,NA,NA,NA,Аня Д
наконец,конъюнкция,1277; 1281,МАС; Уш,mono,NA,,free,,,наконец,NA,NA,,NA,один и тот же пример на конъюнкцию и мереологию,,NA,,postposition,,,финитная,,да,"Отличительная особенность маммиллярий — ареола (характерный для всего семейства кактусовых орган, являющийся видоизмененной почкой, из которой вырастают колючки и цветки) разделена на две части: одна расположена на вершине бугорка и несет колючки, а другая находится в его пазухе и из нее появляются цветки. Наконец, надо вспомнить о своеобразных симпатичных видах вилькоксий и пениоцереусов (подрод Wilcoxia рода Echinocereus и род Peniocereus). [НКРЯ. Д. В. Семенов. Сенсационный кактус // «Первое сентября», 2004]",,"Герои наших дней — экс-премьеры, «мореплавателя» нетрудно заменить воздухоплавателем, совершающим рискованные пируэты над Атлантикой, наконец, какой разведчик для конспирации не назовётся плотником или сантехником? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,в значении присоединительного союза; в значении вводного слова,NA,"присоединительный; кроме всего, и еще",NA,"Во-первых, он честный человек, во-вторых, хороший специалист, наконец, он мне просто симпатичен. (Морк); Ещё не все потеряно; наконец, у нас есть и другие возможности.  (БТС)","NA; означает,что мера терпения переполнена",наречие,присоединение,NA,NA,NA,NA,Аня Д
наконец,мереология,1278; 1279; 1280,МАС; Морк; Уш,mono,NA,,free,,,наконец,NA,NA,,NA,один и тот же пример на конъюнкцию и мереологию,,NA,,postposition,,,финитная,,да,"В-четвертых, городские и сельские поселения в большинстве субъектов предстоит наделить статусом муниципальных образований, определить их границы и организовать выборы органов МСУ. Наконец, принятие и реализация этих законопроектов — это значительная децентрализация власти в стране. [НКРЯ. Светлана Бабаева, Екатерина Григорьева. Слоеный пирог. Владимир Путин начал раздачу власти // «Известия», 2003.02.18]",,"Каковы размеры и объем всего мира, солнца, луны, звезд, земли; наконец, каково их назначение? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,вводное слово; в значении союза,NA,"Указывает, что член предложения заключает сказанное ранее; выражение, которое следует далее, заключает сказанное ранее; перечислительный",NA,"Но далее, далее едете вы. Холмы все мельче и мельче, дерева почти не видать. Вот она, наконец, — безграничная, необозрамая степь! (МАС); Во-первых, он честный человек, во-вторых, хороший специалист, наконец, он мне просто симпатичен <...> (Морк); Как отмечают в Российском топливном союзе, сказался целый ряд факторов: идет уборочная кампания, начались отпуска и поездки на дачу у автолюбителей, наконец, выросла цена нефти и на мировом рынке. (НКРЯ)","NA; для указания на то, к чему всегда можно прибегнуть; для выражения крайнего нетерпения, недовольства",наречие; NA,аддитивность,NA,NA,NA,NA,Аня Д
наконец,таксис,1282; 1284,АГ-80,mono,NA,,free,,,наконец,NA,NA,,NA,,,NA,,postposition,,,финитная,,да," Одна и та же песня последовательно исполнялась сначала отцу, затем матери, сестре, брату, подругам — всем, кто по правилам свадебной игры должен принимать участие в обряде. В тексте песни заменялись лишь обращения. Наконец коса расплетена, волосы расчесаны, распущены по плечам невесты — отныне голове невесты не суждено носить девичьей косы — "" девьей красоты "". [НКРЯ. Свадьба тюменских старожилов // «Народное творчество», 2004]",,,Примеры не обнаружены,NA,союз; вводное слово,NA,NA,NA,"NA; Пора понять, наконец, что болотные массивы необходимо оставить в первозданном виде и не проводить над ними никаких экспериментов. (НКРЯ)",NA,аналог союза; наречие; NA,следование,NA,NA,NA,NA,Аня Д
наоборот,адверсатив,1285; 1286; 1287; 1288,МАС; Уш; АГ-80,mono,NA,,free,,,наоборот,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,"Например, в "" доброй сказке "" результатом встречи героя (тип H) с антагонистом (тип A) могут быть варианты (+, -), (+, d), но никак не (d, +). Трагедия, наоборот, изобилует печальными как для субъекта, так и для объекта встречи вариантами: (-, -), (d, d) и т. д. [НКРЯ. В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004]",,"Мы не можем пожаловаться, чтобы наша цивилизация была скудна, наоборот, чего в ней нет? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,в значении вводного слова; аналог союза; вводное слово,NA,В противоположность сказанному или ожидаемому; в противоположность сказанному или ожидаемому; NA,NA,"Вместо того чтобы затормозить, он, наоборот, встал на козлах и отчаянно закрутил над головой кнутом. (МАС); Комментируя опасения отдельных экспертов, что предлагаемые нормы уведут арендный рынок ещё больше в тень, парламентарий отметил, что цифровизация рынка аренды, наоборот, обеспечит повышение его прозрачности. (НКРЯ); Никто не заинтересован, чтобы закон (об обязательных QR-кодах. — Прим. ред. ) долго работал, наоборот, все заинтересованы, чтобы он работал недолго (НКРЯ); <...> если источник сигнала 5G будет достаточно сильным, он может сбить работу высотомера, либо, наоборот, высотомер может помешать сигналу 5G» (НКРЯ)",NA,наречие; в значении противительной частицы; наречие; вводное слово; наречие; аналог союза,противительность,NA,NA,NA,NA,Аня Д
наподобие того как,сравнение,1289; 1290,БТС; ЕФР,poly,nobreak,,initial,exclusively,,наподобие того как,NA,NA,,NA,,,NA,,"preposition, postposition",,,финитная,,да,,,,Примеры не обнаружены,NA,в зн. союза; союз,NA,содержание придаточного предложения уподобляется содержанию главного; уподобление кому-л. или чему-л.: подобно тому как,NA,"Он резко дёрнул за верёвку наподобие того, как рыбаки подсекают рыбу.(БТС)&#10;; Микроорганизмы используют полиоксиалканоаты в качестве запасающих веществ, наподобие того, как животные накапливают жир на черный день. (НКРЯ)",NA,NA,симилятив,NA; сравнение,NA; экватив,NA,NA,Аня Д
наподобие того что,переформулирование,1291,ЕФР,poly,nobreak,,initial,exclusively,,наподобие того что,NA,NA,,NA,,,NA,,postposition ,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,"не точно, а приблизительно передается содержание чьей-л. речи, мысли: вроде того что",NA,"По его словам, люди в возрасте старше 55 часто оказываются очень стойкими, и поэтому «Теремок» заинтересован в сервисах наподобие того, что создал сейчас Сбербанк. (НКРЯ)",NA,NA,NA,ПУ,цитирование,NA,NA,Аня Д
например,мереология,1292; 1293; 1294; 1295,МАС; Морк; АГ-80,mono,NA,,free,,,например,NA,NA,,NA,,,NA,,postposition ,,,финитная,,да,,,"А что, если продолжить математический анализ человека — например, как сравнить ценность двух жизней? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,вводное слово; аналог союза,NA,"для примера (при перечислении, пояснении); для указания на предмет, поясняющий какую-то мысль; NA; включение",NA,"Участникам программ «Арктический гектар» и «Дальневосточный гектар» станет проще освоить свои участки — например, они смогут начать строить дома на гектарах, в отношении которых не утверждены правила землепользования и застройки. (НКРЯ); Завтра можно отдохнуть, например, поехать за город (Морк); Кроме того, Хинштейн отметил, что размер этого штрафа гораздо меньше санкций, наложенных на корпорацию в Европе — например, в 2018 году Евросоюз оштрафовал Google на пять миллиардов долларов.(НКРЯ); Абоненту звонят якобы из банка и сообщают, например, что злоумышленники пытаются оформить на него кредит. (НКРЯ)",NA,NA; вводное слово; аналог союза,конкретизация,NA,NA,NA,NA,Аня Д
напротив,адверсатив,1296; 1297; 1298; 1299,МАС; АГ-80,mono,NA,,free,,,напротив,NA,NA,,NA,,,NA,,postposition ,,,финитная,,да,,,"Мы не можем пожаловаться, чтобы наша цивилизация была скудна, напротив, чего в ней нет? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,в значении вводного слова; союз; вводное слово; аналог союза,NA,в противоположность сказанному или ожидаемому; NA,NA,"Столетние липы и дубы разрослись широко и буйно; буки, напротив, несмотря на свою старость, росли больше вверх. (МАС); Он нисколько не рассердился, напротив, сам посмеялся шутке. (Уш); Что же вы тут находите смешного? По-моему, письмо это, напротив, чрезвычайно трогательно. (МАС); Против отца у меня не было никакого дурного чувства. Напротив, он как будто еще вырос в моих глазах (Уш)",NA,наречие; предлог; в значении противительной частицы; вводное слово; аналог союза; наречие; союз; аналог союза; наречие; союз; вводное слово; наречие,противительность,NA,NA,NA,NA,Аня Д
наряду с тем что,мереология,1301,АГ-80,poly,nobreak,,initial,exclusively,,наряду с тем что,NA,NA,,NA,,,NA,,"preposition, postposition",,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Это повышало нагрузку и тормозило процесс — наряду с тем, что ряд ключевых участников работы над кодексом вынужденно выпадали из процесса, уходя на больничный или на карантин. (НКРЯ)",NA,NA,аддитивность,NA,NA,NA,NA,Аня Д
наряду с тем что,таксис,1300,БТС,poly,nobreak,,initial,exclusively,,наряду с тем что,NA,NA,,NA,,,NA,,"preposition, postposition",,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,"в то же время, одновременно",NA,NA,NA,NA,одновременность,конъюнкция,сопоставление,NA,NA,Аня Д
наряду с этим,таксис,1302,БТС,poly,nobreak,,initial,exclusively,,наряду с этим,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,"Лично для меня было бы достаточно клуба, чтобы мы не регулярно, но и без больших пауз, выезжали вместе куда-нибудь на ночные наблюдения, возможно с шашлычком, наряду с этим почему бы и не поделится опытом прямо на месте, под звездами и астрономической атмосферой? [Видоизмененный пример из Google]",Примеры не обнаружены,NA,союз,NA,"в то же время, одновременно",NA,NA,NA,NA,одновременность,конъюнкция,сопоставление,NA,NA,Аня Д
насчёт того что,композиция текста,1264,ЕФР,poly,nobreak,,initial,exclusively,,насчёт того что,NA,NA,,NA,,,NA,,preposition,,,финитная,,да,,,"Всеведущий акустик Шпанцев комментирует (конец 70-х годов): «Насчет того, что командир загуливает, мы не знали, выпившим на лодке не видели. [НКРЯ: Александр Крон. Капитан дальнего плавания (1983)]; Насчет того, что тебя Пряслин спихнул, это слишком большая честь для Пряслина. [НКРЯ: Федор Абрамов. Дом (1973-1978)]",Примеры не обнаружены,NA,союз,NA,"действие, являющееся объектом высказывания, который необходимо выделить: относительно того что, по поводу того что",NA,"Жену с дочерью зарежут, он шагу не прибавит...   Петро пошел в дом, вытирая на ходу руки ветошью.  Насчет того, что он "" шагу не прибавит "" — это как-то на него похоже: на редкость спокойный мужик, медлительный, но весь налит свинцовой разящей силой. [НКРЯ: Василий Шукшин. Калина красная (1973)]",NA,NA,возврат к прежнему топику,NA,NA,NA,NA,Аня Д
насчёт того что,ПУ,1314; 1263,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,насчёт того что,NA,NA,,NA,,,NA,,postposition,,,финитная,,нет,NA,,,Примеры не обнаружены,NA,союз,NA,"описательно передается содержание чьей-л. мысли, речи: относительно того что, по поводу того что",NA,"Экс-президент США Барак Обама ошибается на счет того, что России для статуса сверхдержавы не хватало сети союзников и баз, <...> (НКРЯ)",NA,NA,цитирование; мнение,NA,NA,NA,NA,Аня Д
начиная с того что,мереология,1315,ЕФР,poly,nobreak,,initial,exclusively,,начиная с того что,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,"И какие оправдания-то находят, что так и хочется сказать: вы бы это творчество, да в продуктивное русло... Начиная с того, что их сверхсложную и эффективную технику могут применять только мастера, и, заканчивая тем, что «мы же вас просто убьем!» [НКРЯ. Дмитрий Медведев. Модели боя, или ради чего мы хлопочем (2003) // «Боевое искусство планеты», 08.12.2003]",,,Примеры не обнаружены,NA,союз,NA,конкретизируется один из моментов содержания главной части,NA,"«В Сербии нет заболевших коронавирусом, говорю это в связи с тем, что мы подвергаемся невероятно лживой кампании в социальных сетях — начиная с того, что в инфекционной больнице скончалось два человека и заканчивая людьми, которые ходят в скафандрах»(НКРЯ)",NA,NA,конкретизация,NA,NA,NA,NA,Аня Д
не просто... (а/ но),заместительные отношения,1321; 1322; 1324,ЕФР; АГ-80,poly,nobreak,,initial,exclusively,,не просто,а; но,нет,"Все это не просто сообщалось и выслушивалось, — давались оценки, порой весьма нелицеприятные, а порой и просто резкие...  [НКРЯ: М. Э. Боцманова, Р. Д. Триггер. Изучение психологии подростка в лаборатории Д.Б. Эльконина // «Вопросы психологии», 2004]",NA,,Чаще всего употребляется с коррелятом.,initial,,preposition,,,"В большинстве случаев оформляет сочиненные предикаты или инфинитивные предикации, а не полные клаузы",,нет,NA,,,"«Служебный роман» — праздник, традиция, которая не просто не забывается, а она до сих пор живее всех живых. [видоизмененный пример из НКРЯ]",NA,союз,NA,"соединение однородных членов предложения (из которых второй противопоставляется первому и представляется более существенным): не только.., а; градационно-сопоставительный",NA,"Может ли быть более страшная ситуация, когда ты выполнял то, что должен был сделать, и тут оказывается, что тебя подставили, и не просто подставили, а ты еще в тюрьме оказываешься в результате? [НКРЯ: А. А. Данилова, протоиерей Андрей Кордочкин. «Хотелось бы больше сочувствия друг к другу» (2017.02) // 2017]; Я увлекаюсь ароматерапией (да что там, не просто увлекаюсь, а сейчас — это моя работа).  [НКРЯ: Красота, здоровье, отдых: Медицина и здоровье (форум) (2005)]недель вопрос с поддержкой цветоводов был окончательно решён»(НКРЯ)",NA,союзное соединение,NA,мереология,аддитивность,NA,NA,Аня Д
не сказать чтобы…  а/но/скорее,адверсатив,1333; 1334,АГ-80,poly,nobreak,,initial,predominantly,,не сказать чтобы,а; но; скорее; просто,да,,NA,,,initial,,preposition,,,финитная,,нет,NA,,"Многие пещеры имеют свои собственные названия, например, Дохлобарсучья или Капкан: не сказать, чтобы это было красиво, а как еще их называть? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,устойчивое речение,NA,NA,NA,"Просто неудачник какой-то, и не сказать чтобы совсем спившийся, а так — как все.  [НКРЯ: Юрий Буйда. Город палачей // «Знамя», 2003]",NA,NA,уступка,NA,NA,NA,NA,Аня Д
не столько... сколько,заместительные отношения,1338,Морк; БТС; ЕФР; АГ-80,poly,nobreak,,initial,exclusively,,не столько,сколько; а; как; но,да,,да,,"Основной вариант ""сколько"", но встречаются тж. корреляты ""а"", ""как"", ""но""",initial,,preposition,,,В большинстве случаев вводит сочиненные предикаты или нефинитные предикации,,нет,NA,,,"А девочка, дочка: не столько красавица, сколько у нее были изумительные курчавые локоны. [Инькова, Манзотти 2019: 79]",NA,союз,NA,градационный,NA,"«Я думаю, что речь даже не столько в названии определённого органа исполнительной власти, сколько в том, что сегодня в обществе остро назрел вопрос межведомственного взаимодействия по всем вопросам, которые касаются благополучия семьи» (НКРЯ); Матвиенко обратила внимание, что успех измеряется не столько количеством заработанных денег, сколько тем, как человек ощущает себя в этом мире. (НКРЯ); Новым является не столько курс на публичную роль глав регионов в кампаниях, сколько на то, что они управляют отделениями партии, что снижает влияние партийной номенклатуры и на состав кандидатов, и на саму думскую кампанию. (НКРЯ); Это не только и не столько туристические объекты, сколько важнейший фактор, обеспечивающий полуостров водой. (НКРЯ); По нашему мнению, не столько спрос на дешевый товар провоцирует поставки молочного фальсификата, сколько отсутствие контроля качества продукции. (НКРЯ)",NA,NA,NA,степень,собственно степень,NA,NA,Аня Д
не так чтобы... а/но,заместительные отношения,1343; 1344,ЕФР,poly,nobreak,,free,,,не так чтобы,а; но; просто,да,,NA,,"возможно усиление коррелята ""но хотя бы"", ""но по крайней мере"", ""но как минимум"", ""но во всяком случае""",initial,,preposition,,,финитная,,нет,NA,,,"Ну, не так, чтобы совсем не до него, но всё равно Валька мешает. [НКРЯ]",не так чтоб... а,союз,NA,"вносит оттенок неопределенности в оценку признака или состояния первой части предложения: не так чтобы.., но",NA,"Не так, чтобы искать их и договариваться о каком-то эпизодическом контакте, а регулярная, постоянная, каждый день"" (НКРЯ); Если поправить на инфляцию, картина не так чтобы грустная, но возможностей для денежного роста в платном телевидении мы не видим. (НКРЯ)",NA,NA,NA,NA,NA,NA,NA,Аня Д
не то,дизъюнкция,,,poly,nobreak,,initial,exclusively,,не то,NA,NA,,да,,,NA,,postposition,,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Что-то у них там случилось, вроде бы он ее ударил, не то она его ударила. [Сконструированный пример]",NA,NA,NA,NA,NA,NA,NA,Аня Д
не то,условие,1346; 1347; 1348; 1349; 1350,МАС; Морк; БТС; ЕФР; АГ-80,poly,nobreak,,initial,predominantly,,не то,NA,NA,,да,,,NA,,postposition,,,финитная,,да,,,Обязательно бери с собой скрипку — не то как же ты вернешься к учительнице? [Видоизмененный пример из НКРЯ],Примеры не обнаружены,NA,нет пометы; союз; в зн. союза,NA,"иначе, в противном случае; противительный; соединение предложений (во втором из которых действие или событие могло бы произойти, если бы препятствием для него не послужило реальное действие или событие первого предложения): в противном случае, иначе, а то",NA,"Стреляйте первыми, не то хуже будет. (НКРЯ); Участок не обносите высоким сплошным забором, не то там будет сыро и темно, как в колодце. (НКРЯ); Отпусти, не то плохо будет. (БТС); В этот день обычно идет дождь: ""Сено косить — до Ильина дня поспешить, не то будет гнить"". (НКРЯ)",NA,NA,антиусловие,NA,NA,NA,NA,Аня Д
не то что,заместительные отношения,1351; 1352; 1353; 1354; 1355; 1356; 1357; 1358; 1359,АГ-80; ЕФР; БТС,poly,nobreak,,initial,predominantly,,не то что,а; но; просто,нет,,да,,"Возможно усиление коррелята ""но хотя бы"", ""но по крайней мере"", ""но как минимум"", ""но во всяком случае"", ""на самом деле"". При наличии коррелята клауза с коррелятом допустима только в постпозиции.",initial,,"preposition, postposition",,,финитная,,нет,NA,,"Не то, что я хочу тебя обидеть, но ты не прав. [Сконструированный пример]; Не то что он не любил обман, но как без него? [Видоизмененный пример из НКРЯ]","Этот вкус к музыке XX века оба явили потом в прокофьевском цикле на стихи Константина Бальмонта, и — еще более — в «Шести песнях на стихи Клеменса фон Брентано» Рихарда Штрауса, ставших таким апофеозом вечера, что не то что «браво», а в фанфары прогреми, все будет мало. [НКРЯ] Не то что он нелюдимый, он просто необщительный. (констр.)",NA,союз,NA,"градационный; присоединение однородного члена предложения при отрицательном сравнении его с другими однородными членами: а не то что, не как; присоединение однородного члена предложения или однородного предложения (подчеркивая важность последующей части высказывания): а не то что",NA,"При этом задача по формированию новой архитектуры безопасности в Европе уже не то что назрела, она даже перезрела. (НКРЯ); В итоге небольшие вертолеты были довольно аскетичными, не то что те роскошные автомобили, к которым привыкла публика (НКРЯ); <...> а двигались, кстати, динамично, не то что «Женский марш» в прошлую субботу этой же дорогой <...> (НКРЯ)",NA,частица; NA,NA,NA,NA,NA,NA,Аня Д
не то чтобы,заместительные отношения,1361; 1362; 1363; 1364; 1365; 1366; 1367; 1368,МАС; АГ-80,poly,nobreak,,initial,predominantly,,не то чтобы,а; но; просто,нет,,да,,"возможно усиление коррелята ""но хотя бы"", ""но по крайней мере"", ""но как минимум"", ""но во всяком случае"", ""на самом деле""",initial,,preposition,,,финитная,,нет,NA,,"Не то чтобы я был старовер, а... смотришь на суриковскую «Боярыню Морозову» и думаешь — вот уезжает от нас в санях по снежной московской каше под свист, хохот, улюлюканье, злорадство и горькие слезы Третий Рим. [НКРЯ: М. Б. Бару. Принцип неопределенности // «Волга», 2015]; Не то чтобы она хотела подольше тут оставаться, но как это «свободна»? [НКРЯ: Александр Снегирев. Вера (2015)]","Не то чтобы это перестает нравиться, но от прежнего отношения к тому, об устройстве чего ты узнал,... ничего не остается... [НКРЯ]",NA,сложный союз; союз,NA,"не столько…, сколько; NA",NA,"Данные об их владельцах не то чтобы отсутствуют совсем — они содержатся в различных базах, но не в полном объёме. (НКРЯ); <...> вот нам надо её сегодня остановить, не то чтобы снизить, главная задача сегодня — остановить (НКРЯ)",NA,NA,NA,NA; переформулирование,NA,NA; бывает ли без коррелята?,NA,Аня Д
